epoch,acc,learning_rate,loss,top3,val_acc,val_loss,val_top3
0,0.38461539149284363,0.0010000000474974513,1.5930761098861694,0.5769230723381042,0.5714285969734192,1.0674550533294678,1.0
1,0.6153846383094788,0.0010000000474974513,1.0975784063339233,0.8461538553237915,0.7142857313156128,0.8241177797317505,1.0
2,0.8846153616905212,0.0010000000474974513,0.7611054182052612,1.0,1.0,0.6829503178596497,1.0
3,0.9230769276618958,0.0010000000474974513,0.5453522205352783,1.0,1.0,0.5683977007865906,1.0
4,0.9615384340286255,0.0010000000474974513,0.4286612868309021,1.0,1.0,0.45729556679725647,1.0
5,0.9230769276618958,0.0010000000474974513,0.4161946177482605,1.0,1.0,0.3629130423069,1.0
6,0.9230769276618958,0.0010000000474974513,0.283033162355423,1.0,1.0,0.269224613904953,1.0
7,1.0,0.0010000000474974513,0.16977296769618988,1.0,1.0,0.19965822994709015,1.0
8,1.0,0.0010000000474974513,0.1186852902173996,1.0,1.0,0.1552201807498932,1.0
9,0.9615384340286255,0.0010000000474974513,0.10735590010881424,1.0,1.0,0.12357902526855469,1.0
10,1.0,0.0010000000474974513,0.038204826414585114,1.0,1.0,0.10145856440067291,1.0
11,1.0,0.0010000000474974513,0.04172205552458763,1.0,1.0,0.08409390598535538,1.0
12,1.0,0.0010000000474974513,0.028084931895136833,1.0,1.0,0.07192116975784302,1.0
13,1.0,0.0010000000474974513,0.026369798928499222,1.0,1.0,0.06732625514268875,1.0
14,1.0,0.0010000000474974513,0.009980211034417152,1.0,1.0,0.06445630639791489,1.0
15,1.0,0.0010000000474974513,0.01232843566685915,1.0,1.0,0.06045868620276451,1.0
16,1.0,0.0010000000474974513,0.010065000504255295,1.0,1.0,0.05930742248892784,1.0
17,1.0,0.0010000000474974513,0.045221827924251556,1.0,1.0,0.06097227334976196,1.0
18,1.0,0.0010000000474974513,0.0197764802724123,1.0,1.0,0.05344461277127266,1.0
19,1.0,0.0010000000474974513,0.010983359068632126,1.0,1.0,0.04842502251267433,1.0
20,1.0,0.0010000000474974513,0.009384036995470524,1.0,1.0,0.04174221307039261,1.0
21,1.0,0.0010000000474974513,0.003322394099086523,1.0,1.0,0.03543833643198013,1.0
22,1.0,0.0010000000474974513,0.0038785969372838736,1.0,1.0,0.02979644015431404,1.0
23,1.0,0.0010000000474974513,0.004488363396376371,1.0,1.0,0.024818947538733482,1.0
24,1.0,0.0010000000474974513,0.006172006018459797,1.0,1.0,0.02124241553246975,1.0
25,1.0,0.0010000000474974513,0.0018343467963859439,1.0,1.0,0.018311521038413048,1.0
26,1.0,0.0010000000474974513,0.013244975358247757,1.0,1.0,0.015985077247023582,1.0
27,1.0,0.0010000000474974513,0.0011712937848642468,1.0,1.0,0.014160462655127048,1.0
28,1.0,0.0010000000474974513,0.0007354774279519916,1.0,1.0,0.012794489972293377,1.0
29,1.0,0.0010000000474974513,0.0015708811115473509,1.0,1.0,0.011707835830748081,1.0
30,1.0,0.0010000000474974513,0.0065328036434948444,1.0,1.0,0.01092628575861454,1.0
31,1.0,0.0010000000474974513,0.0005700309411622584,1.0,1.0,0.010194940492510796,1.0
32,1.0,0.0010000000474974513,0.00018416660896036774,1.0,1.0,0.009593917056918144,1.0
33,1.0,0.0010000000474974513,0.0007095342152751982,1.0,1.0,0.009095911867916584,1.0
34,1.0,0.0010000000474974513,0.001561382319778204,1.0,1.0,0.009104111231863499,1.0
35,1.0,0.0010000000474974513,0.015105893835425377,1.0,1.0,0.008761195465922356,1.0
36,1.0,0.0010000000474974513,0.00026456889463588595,1.0,1.0,0.008683188818395138,1.0
37,1.0,0.0010000000474974513,0.007462583482265472,1.0,1.0,0.008403502404689789,1.0
38,1.0,0.0010000000474974513,0.0004355679266154766,1.0,1.0,0.008166476152837276,1.0
39,1.0,0.0010000000474974513,0.00011363172234268859,1.0,1.0,0.007932251319289207,1.0
40,1.0,0.0010000000474974513,0.012483092024922371,1.0,1.0,0.008218194358050823,1.0
41,1.0,0.0010000000474974513,0.00031426415080204606,1.0,1.0,0.008459455333650112,1.0
42,1.0,0.0010000000474974513,0.0011051143519580364,1.0,1.0,0.008239545859396458,1.0
43,1.0,0.0010000000474974513,0.0009968718513846397,1.0,1.0,0.008126823231577873,1.0
44,1.0,0.0005000000237487257,5.553843220695853e-05,1.0,1.0,0.00807551946491003,1.0
45,1.0,0.0005000000237487257,0.0002636718563735485,1.0,1.0,0.008029001764953136,1.0
46,1.0,0.0005000000237487257,0.0005325149395503104,1.0,1.0,0.008052929304540157,1.0
47,1.0,0.0005000000237487257,0.001546375686302781,1.0,1.0,0.008020488545298576,1.0
